filename,file_size,num_sections,num_imported_functions,num_suspicious_imports,num_exported_functions,has_signature,avg_section_entropy,label
IOMFB_FDR_Loader,244640,12,129,2,1,1,3.085494220355439,0
avbdiagnose,238592,19,78,0,1,1,2.6772538255663574,0
mg,403680,11,132,3,1,1,3.068064317657459,0
clang,118848,10,13,0,1,1,2.23610416522408,0
lsm,172352,20,90,1,1,1,2.7173397469635625,0
snmptranslate,120256,5,48,0,1,1,3.5738039877244474,0
db_hotbackup,2059200,11,133,6,1,1,3.3294666846858165,0
productsign,154560,19,64,0,1,1,2.7938138255451617,0
usdzip,916624,9,152,4,96,1,4.107010928423477,0
snmpdf,102512,7,29,0,1,1,2.869214661885953,0
orbd,135664,11,35,0,1,1,2.967061289411817,0
policytool,135664,11,35,0,1,1,2.967061289411817,0
log,617536,28,328,10,1,1,3.0909005840159733,0
snmpinform,135792,7,36,0,1,1,2.668991364323617,0
db_archive,2058992,11,131,6,1,1,3.327261220322791,0
what,101216,6,12,0,1,1,3.580448292606636,0
mesg,101120,6,10,1,1,1,3.217262812778771,0
codesign_allocate,118848,10,13,0,1,1,2.23610416522408,0
mdimport,718880,27,615,11,1,1,3.0899305021731065,0
[,101456,7,16,0,1,1,3.2685287487218573,0
fstyp_msdos,101552,8,17,0,1,1,2.417327061229262,0
funzip,123216,8,30,0,23,1,2.7658859037986234,0
otool,118848,10,13,0,1,1,2.23610416522408,0
gunzip,194992,11,104,2,2,1,3.022152296138384,0
ditto,172576,10,89,0,1,1,2.494084043504833,0
avmetareadwrite,137136,13,51,0,1,1,2.842143366452634,0
snmpset,102320,6,28,0,1,1,2.989809461500202,0
column,135248,9,34,0,1,1,2.7843745411641225,0
parl,12998384,10,42,1,16,1,3.2548083291171457,0
rvim,5469856,15,251,5,1,1,3.3062722102982267,0
rsync,102224,8,27,0,1,1,2.7172822067542723,0
unifdefall,118848,10,13,0,1,1,2.23610416522408,0
uuencode,136480,10,62,1,1,1,3.0258383046614243,0
dig,3995568,11,204,6,1,1,3.3991191309728332,0
w,136624,9,60,0,1,1,2.512139589077579,0
tee,101232,7,12,0,1,1,3.027923114119133,0
cap_mkdb,118096,8,20,0,1,1,2.8787302429950934,0
lpq,119280,10,41,2,1,1,2.609509087764589,0
viewdiagnostic,163712,20,138,1,1,1,2.852911703099109,0
parldyn5.34,170704,10,65,0,18,1,2.9892057586776293,0
uudecode,136480,10,62,1,1,1,3.0258383046614243,0
asa,118848,10,13,0,1,1,2.23610416522408,0
ppdpo,291264,13,71,2,1,1,3.316367459085179,0
dsmemberutil,102384,7,30,0,1,1,3.3301874726743854,0
ssh-keyscan,662256,12,218,4,1,1,3.19732239619479,0
snmpget,102320,5,27,0,1,1,3.47938183315823,0
shlock,101872,7,26,1,1,1,3.2681128052118273,0
syspolicy_check,480800,39,380,1,1,1,3.021815941664915,0
lp,119424,9,43,1,1,1,2.6998266346495834,0
snmpnetstat,187232,9,59,1,1,1,2.82462626851708,0
